Date,NMDS1,NMDS2
10/11/2019,-0.335628384,0.012356933
10/24/2019,-0.286225536,-0.043955031
11/6/2019,-0.567819799,-0.239883982
11/21/2019,-0.467951637,-0.145369744
12/4/2019,-0.322143243,-0.250428581
2/4/2020,-0.591824429,0.237880119
2/19/2020,-0.079435393,0.312572159
3/15/2020,-0.013913147,0.179464101
4/6/2020,0.03521257,0.3490905
5/14/2020,0.382498514,0.184101755
6/15/2020,0.49899396,0.248576855
6/27/2020,0.499620045,-0.005840705
7/16/2020,0.500723786,-0.013248235
7/23/2020,0.446794604,-0.045153437
8/5/2020,0.578907627,-0.008810501
8/23/2020,0.383068905,-0.08625412
9/21/2020,0.274651334,0.249099266
9/30/2020,-0.400828835,0.054445457
10/19/2020,-0.067754125,0.021757773
11/20/2020,-0.365617192,0.069335876
12/10/2020,-0.442115418,0.226289905
12/23/2020,-0.453064907,0.15977973
